,9.58,0.04,0.71,-0.5.47,57.00,67.00,49.00,12.00,3.00
11.01,8.00,10.00,-0.03,0.43,-0.20,56.00,66.00,50.00,13.00,3.00
11.30,7.73,9.58,0.04,0.71,-0.50,57.00,64.00,49.00,12.00,3.00
11.38,8.49,9.29,0.13,2.00,-0.63,58.00,66.00,50.00,10.00,3.00
11.42,9.43,9.22,0.63,4.44,-0.09,59.00,66.00,51.00,14.00,3.00
10.23,9.15,10.88,1.25,4.43,2.90,60.00,66.00,49.00,10.00,3.00
9.16,6.94,12.79,1.39,-3.62,8.73,55.00,65.00,49.00,12.00,3.00
10.57,3.06,11.15,-0.68,-16.22,5.92,53.00,64.00,53.00,14.00,3.00
13.24,5.50,7.80,-18.08,-10.13,-16.20,56.00,65.00,54.00,14.00,3.00
14.21,7.95,6.42,-15.08,8.86,-20.98,57.00,67.00,54.00,13.00,3.00
8.60,10.81,7.73,2.35,29.30,-13.24,52.00,66.00,52.00,11.00,3.00
4.64,13.48,10.15,17.90,32.77,6.20,51.00,68.00,53.00,16.00,3.00
-1.74,12.92,18.39,9.46,16.17,18.98,50.00,67.00,51.00,13.00,3.00
1.59,10.88,16.87,6.95,-9.31,26.62,51.00,66.00,51.00,12.00,3.00
7.02,7.99,10.16,0.92,-30.11,25.36,49.00,65.00,51.00,11.00,3.00
12.95,11.26,4.50,-22.93,-25.05,-13.09,57.00,63.00,53.00,12.00,3.00
15.78,7.57,2.36,-32.77,-0.28,-27.21,53.00,64.00,52.00,13.00,3.00
8.39,9.20,7.44,-3.44,32.77,-17.34,52.00,65.00,53.00,12.00,3.00
3.57,14.13,12.78,7.81,28.24,2.68,52.00,65.00,52.00,12.00,3.00
0.30,15.56,14.96,11.31,19.56,20.21,59.00,64.00,55.00,12.00,3.00
1.68,12.05,14.65,7.26,-5.05,27.48,54.00,63.00,50.00,13.00,3.00
6.48,8.01,10.58,-0.97,-27.50,23.92,53.00,64.00,50.00,12.00,3.00
11.42,9.20,5.29,-28.22,-27.16,-16.85,53.00,64.00,50.00,14.00,3.00
13.80,7.92,5.66,-25.80,-7.02,-26.87,57.00,60.00,51.00,11.00,3.00
8.80,9.16,8.18,-8.10,22.46,-16.59,53.00,64.00,50.00,12.00,3.00
5.69,11.34,9.22,5.18,32.77,-1.32,52.00,64.00,51.00,13.00,3.00
-0.68,16.19,15.36,12.44,24.48,22.13,51.00,61.00,51.00,13.00,3.00
---------END--------
1,9.86,0.02,0.44,-0.31,51.00,59.00,.00,49.00,13.00,3.00
8.36,10.90,9.92,0.22,0.48,-0.10,50.00,61.00,50.00,12.00,3.00
8.12,10.90,9.86,0.02,0.44,-0.31,51.00,59.00,47.00,15.00,3.00
7.82,11.47,10.00,-0.17,0.35,-0.41,51.00,62.00,48.00,13.00,3.00
8.50,11.44,9.28,-0.26,0.89,0.04,52.00,65.00,49.00,11.00,3.00
8.74,11.84,9.54,-0.41,1.27,1.60,51.00,63.00,48.00,13.00,3.00
7.85,11.55,11.52,-0.55,-4.88,8.90,51.00,60.00,50.00,14.00,3.00
7.80,8.50,11.88,-3.85,-15.36,9.59,52.00,62.00,51.00,12.00,3.00
10.27,6.90,8.38,-21.44,-24.30,-9.30,53.00,62.00,48.00,13.00,3.00
14.14,7.49,4.34,-20.40,-7.15,-20.98,53.00,65.00,53.00,11.00,3.00
10.91,8.23,5.20,-9.33,22.38,-21.90,57.00,63.00,54.00,10.00,3.00
5.18,13.41,9.02,9.89,32.77,-3.16,53.00,67.00,57.00,12.00,3.00
-0.12,15.73,14.54,9.77,26.19,14.98,57.00,68.00,57.00,12.00,3.00
-0.50,12.40,15.27,8.42,3.08,27.17,58.00,67.00,55.00,11.00,3.00
4.43,9.90,10.95,5.16,-21.08,31.05,59.00,67.00,55.00,13.00,3.00
6.67,12.15,7.30,-13.25,-28.95,-2.53,61.00,65.00,54.00,12.00,2.00
14.16,7.18,2.45,-32.65,-9.27,-32.77,62.00,64.00,54.00,12.00,2.00
10.06,9.18,3.68,-6.86,32.77,-21.88,56.00,66.00,54.00,13.00,3.00
1.39,16.54,13.48,7.63,29.57,7.02,57.00,61.00,53.00,16.00,3.00
-1.64,14.54,14.89,8.97,13.43,26.38,57.00,64.00,53.00,13.00,3.00
0.60,10.24,15.60,6.48,-12.22,29.07,59.00,60.00,50.00,13.00,3.00
5.86,9.86,9.13,-9.40,-32.22,4.26,59.00,64.00,57.00,14.00,3.00
12.32,8.59,3.54,-27.88,-17.58,-29.34,59.00,62.00,52.00,12.00,3.00
9.75,9.70,7.75,-9.55,13.46,-20.95,55.00,63.00,52.00,11.00,3.00
3.12,14.95,9.94,3.07,31.13,-3.63,55.00,61.00,51.00,11.00,3.00
-1.16,15.24,13.41,8.26,25.97,16.85,54.00,62.00,51.00,12.00,3.00
-1.05,12.06,14.16,6.62,4.10,25.09,56.00,63.00,51.00,12.00,3.00
3.87,9.79,12.84,6.15,-18.19,30.45,53.00,62.00,48.00,12.00,3.00
---------END--------
0.22,10.96,7.92,0.02,0.23,-0.17,51.00,59.00,48.00,12.00,3.00
10.07,10.94,7.88,-0.39,0.228,-0.23,51.00,58.00,48.00,12.00,3.00
10.22,10.96,7.92,0.02,0.23,-0.17,51.00,59.00,48.00,12.00,3.00
10.07,10.94,7.88,-0.39,0.27,-0.50,49.00,56.00,47.00,10.00,3.00
10.14,11.31,7.63,-0.87,0.47,-0.60,51.00,59.00,46.00,11.00,3.00
10.94,11.58,7.46,-0.63,2.29,1.25,52.00,60.00,48.00,12.00,3.00
10.43,10.48,8.13,1.56,3.07,8.89,51.00,60.00,47.00,10.00,3.00
9.95,8.94,9.75,0.02,-9.09,12.80,54.00,60.00,46.00,12.00,3.00
10.67,8.50,9.70,-13.54,-18.80,-0.24,54.00,60.00,47.00,12.00,3.00
13.91,6.06,5.94,-25.50,-10.92,-19.70,55.00,60.00,50.00,12.00,2.00
13.50,10.69,4.38,-12.40,16.62,-28.15,54.00,60.00,50.00,13.00,2.00
6.64,12.34,6.04,2.88,32.77,-10.64,52.00,63.00,49.00,11.00,3.00
0.90,15.68,11.49,13.54,32.77,13.01,51.00,63.00,50.00,10.00,3.00
-2.57,14.22,15.76,6.71,12.48,24.82,55.00,64.00,51.00,13.00,3.00
1.80,9.73,16.26,2.98,-17.27,27.79,53.00,62.00,50.00,11.00,3.00
6.41,7.80,8.17,-8.71,-32.77,12.35,53.00,60.00,47.00,11.00,3.00
13.05,11.72,2.06,-32.77,-24.59,-25.55,55.00,63.00,47.00,14.00,2.00
12.80,9.44,2.99,-20.77,18.45,-32.77,56.00,60.00,51.00,11.00,3.00
3.48,16.05,8.89,6.20,32.77,-2.52,50.00,59.00,48.00,11.00,3.00
-1.41,17.94,14.50,10.80,24.98,25.91,53.00,60.00,50.00,11.00,3.00
-1.16,10.66,15.95,7.49,-5.36,31.51,54.00,59.00,48.00,12.00,3.00
5.77,7.10,10.06,3.74,-28.33,23.25,52.00,59.00,49.00,11.00,3.00
10.33,10.01,5.04,-21.22,-29.48,-12.09,55.00,60.00,49.00,11.00,2.00
12.24,10.96,3.89,-27.17,-6.09,-30.33,54.00,57.00,47.00,13.00,2.00
7.60,10.73,6.40,-9.60,29.48,-14.81,52.00,57.00,46.00,11.00,3.00
1.24,16.32,7.46,8.73,32.77,7.48,54.00,59.00,50.00,12.00,3.00
-4.88,16.12,16.72,7.74,15.53,29.26,54.00,60.00,49.00,14.00,3.00
0.16,10.54,15.47,5.00,-15.81,32.77,50.00,59.00,46.00,12.00,3.00
---------END--------
.26,1.21,-0.28,44.00,55.00,41.00,11.00,2.00
8.66,7.12,13.54,-1.09,0.84,0.34,45.00,59.00,42.00,13.00,2.02.00
9.04,7.00,13.43,-1.26,1.21,-0.28,44.00,55.00,41.00,11.00,2.00
8.66,7.12,13.54,-1.09,0.84,0.34,45.00,59.00,42.00,13.00,2.00
8.66,7.12,12.89,-1.24,1.02,0.72,44.00,56.00,41.00,12.00,3.00
9.08,7.19,12.57,-0.17,2.69,1.77,47.00,55.00,42.00,13.00,3.00
8.45,6.52,12.95,2.55,5.84,4.36,43.00,56.00,43.00,13.00,3.00
7.68,5.88,15.00,11.88,5.51,12.95,43.00,55.00,41.00,13.00,3.00
7.40,4.61,14.67,6.74,-10.94,10.51,48.00,60.00,45.00,10.00,3.00
10.35,5.63,11.17,-17.63,-7.29,-17.73,50.00,62.00,55.00,12.00,2.00
11.88,5.48,10.43,-11.65,18.91,-28.92,49.00,65.00,54.00,12.00,2.00
2.47,10.29,10.11,10.09,31.43,-3.32,50.00,62.00,52.00,12.00,2.00
-3.75,14.95,17.54,16.66,24.46,18.96,50.00,63.00,53.00,11.00,2.00
-0.98,8.34,17.53,10.96,-9.33,26.44,49.00,64.00,53.00,12.00,2.00
3.56,9.42,13.00,-0.62,-29.15,8.54,51.00,65.00,53.00,11.00,2.00
11.22,8.81,6.25,-27.21,-17.82,-23.55,48.00,57.00,52.00,11.00,2.00
6.58,10.40,6.58,-10.70,24.51,-17.70,47.00,62.00,52.00,10.00,2.00
0.40,12.33,13.03,6.88,30.22,3.92,48.00,60.00,51.00,10.00,3.00
-5.93,14.24,18.07,14.27,13.56,27.03,51.00,59.00,49.00,11.00,3.00
-0.26,8.85,16.14,6.19,-17.27,29.02,48.00,60.00,47.00,10.00,2.00
4.73,9.86,11.64,-3.66,-25.96,3.07,47.00,59.00,45.00,11.00,2.00
10.91,8.37,5.02,-22.17,-10.63,-28.47,49.00,58.00,48.00,11.00,2.00
7.42,9.47,6.99,-12.64,19.05,-19.64,48.00,56.00,47.00,12.00,3.00
---------END--------
12.00,2.00
8.12,11.94,9.11,-0.35,0.45,-0.60,44.00,51.00,43.00,10.00,2.00
8.14,12.33,9.35,-1.57,0.68,-0.61,44.00,56.00,39.2.00,12.00,2.00
8.12,11.94,9.11,-0.35,0.45,-0.60,44.00,51.00,43.00,10.00,2.00
8.14,12.33,9.35,-1.57,0.68,-0.61,44.00,56.00,39.0.00,12.00,2.00
8.12,11.94,9.11,-0.35,0.45,-0.60,44.00,51.00,43.00,10.00,2.00
8.14,12.33,9.35,-1.57,0.68,-0.61,44.00,56.00,39.00,12.00,2.00
8.18,13.10,9.26,-1.75,1.27,0.66,43.00,57.00,45.00,12.00,2.00
10.37,13.90,6.25,-9.67,3.81,2.55,43.00,56.00,43.00,12.00,3.00
7.76,12.38,11.40,-10.18,5.36,4.42,42.00,54.00,45.00,12.00,2.00
5.16,3.46,21.43,-3.77,-5.32,10.51,44.00,54.00,42.00,12.00,2.00
8.31,4.66,15.01,-8.77,-16.20,-5.99,46.00,59.00,47.00,12.00,2.00
9.52,6.45,7.66,-14.71,6.12,-26.39,47.00,59.00,51.00,11.00,2.00
4.48,8.38,8.91,-3.30,30.83,-16.90,49.00,64.00,55.00,11.00,2.00
-1.53,14.76,11.14,14.96,32.77,6.53,49.00,61.00,56.00,11.00,2.00
-6.08,15.53,17.94,10.53,9.13,25.71,50.00,63.00,55.00,10.00,2.00
0.07,8.34,16.64,7.25,-18.24,30.78,52.00,65.00,55.00,11.00,2.00
4.09,8.40,12.22,-12.39,-31.90,1.36,53.00,62.00,55.00,12.00,2.00
11.45,8.84,3.66,-21.41,-9.56,-28.48,53.00,63.00,56.00,12.00,2.00
6.11,10.37,6.26,-14.07,29.32,-21.07,49.00,64.00,56.00,11.00,2.00
-3.90,15.39,13.38,8.90,32.77,5.04,48.00,62.00,54.00,11.00,2.00
-6.30,12.42,19.12,10.56,-1.32,29.62,47.00,62.00,53.00,10.00,2.00
-0.33,8.14,15.56,9.48,-30.36,32.47,49.00,60.00,50.00,10.00,2.00
8.86,8.12,5.82,-15.21,-31.33,-3.53,49.00,62.00,52.00,11.00,2.00
11.16,8.98,2.63,-19.06,1.38,-30.09,48.00,60.00,51.00,12.00,2.00
4.43,11.88,4.97,-8.99,30.45,-16.83,47.00,58.00,50.00,10.00,2.00
-3.28,15.99,14.66,12.39,26.35,17.85,48.00,60.00,49.00,13.00,2.00
---------END--------
00,58.00,43.00,11.00,3.00
9.16,7.36,12.57,-0.75,0.49,-1.28,40.00,56.0.00,42.00,11.00,2.00
9.19,7.06,12.64,-0.06,0.21,-0.74,42.00,58.00,43.00,11.00,3.00
